osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,1,9,487,120,326,13055,1,4,0,3,2131,19,633,121,65,1,430,31,37,227,14,119,2,229,10,0,22,3,37
visible,0,65,2371,808,192,149407,52,97,0,159,21335,244,9920,566,652,170,1608,226,308,3087,557,1306,5,1569,130,0,135,101,426
