osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,55,77,4366,926,169,4223,16,17,0,46,55127,94,226653,959,550,18,9993,41,720,1922,324,1867,57,1069,41361,0,719,112,1734
visible,667,713,29968,20804,1044,413876,184,145,2,529,502410,1912,120682,11231,17213,184,96241,858,15337,49266,20141,14064,160,3896,3225,11,3608,8479,53745
