,osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,shop,sport,telecom,tourism,water,waterway
0,deleted,27453,135275,4323320,1514385,1047360,43863275,23684,337977,647,52237,30200360,172818,5547482,976256,824559,21592,8545051,135484,1837441,1449671,437348,1091531,1139151,291727,1808,709083,248980,2783530
1,visible,198312,804033,27024846,25795178,1576981,614358452,313939,2728023,9883,849096,259702564,1859922,41894478,9324694,7530150,166204,68401864,1158035,8104806,37592208,4970667,7378470,6162863,2678031,56469,3364873,4300463,30813565
