osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,0,33,92,71,16,117893,0,5,0,7,643,1,68,9,12,2,181,3,38,16,1,47,0,3,5,0,5,0,90
visible,0,356,465,1587,46,116985,2,7,0,29,8047,19,871,129,1115,20,4673,55,216,932,16,258,1,81,57,0,51,113,5845
