,valid_from,changeset_id,changeset_tags
14693,2014-05-12 17:13:17+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14694,2014-05-12 17:13:43+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14695,2014-05-13 18:07:21+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14696,2014-05-12 17:13:39+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14697,2014-05-13 17:38:14+02:00,22315479,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen lankforst', 'created_by': 'JOSM/1.5 (7000 en)'}"
14698,2014-05-12 16:50:19+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14699,2014-05-12 16:50:45+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14700,2014-05-12 17:13:26+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14701,2014-05-12 16:50:19+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14702,2014-05-12 17:13:36+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14703,2014-05-13 18:07:21+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14704,2014-05-13 18:08:11+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14705,2014-05-13 18:07:47+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14706,2014-05-12 16:50:34+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14707,2014-05-12 16:50:07+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14708,2014-05-12 17:13:24+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14709,2014-05-12 17:13:33+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14710,2014-05-12 16:50:30+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14711,2014-05-12 17:13:31+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14712,2014-05-12 16:49:08+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14713,2014-05-13 18:07:30+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14714,2014-05-12 16:49:41+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14715,2014-05-12 16:49:21+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14716,2014-05-12 16:50:46+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14717,2014-05-12 16:49:47+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14718,2014-05-13 18:07:28+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14719,2014-05-13 18:07:27+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14720,2014-05-12 16:50:49+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14721,2014-05-13 18:07:57+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14722,2014-05-12 17:13:19+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14723,2014-05-12 16:50:14+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14724,2014-05-12 16:50:09+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14725,2014-05-12 17:13:23+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14726,2014-05-12 17:13:42+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14727,2014-05-12 16:50:33+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14728,2014-05-13 18:07:28+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14729,2014-05-12 17:13:25+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14730,2014-05-12 16:49:22+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14731,2014-05-12 16:50:43+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14732,2014-05-13 18:07:48+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14733,2014-05-12 17:13:21+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14734,2014-05-13 18:07:28+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14735,2014-05-12 16:49:13+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14736,2014-05-12 16:49:28+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14737,2014-05-12 16:49:55+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14738,2014-05-12 16:50:29+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14739,2014-05-12 16:49:17+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14740,2014-05-13 18:07:51+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14741,2014-05-12 16:49:12+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14742,2014-05-12 16:49:18+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14743,2014-05-12 16:49:40+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14744,2014-05-12 16:50:16+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14745,2014-05-12 16:49:47+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14746,2014-05-12 17:13:24+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14747,2014-05-12 16:50:23+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14748,2014-05-12 16:50:37+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14749,2014-05-13 18:07:48+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14750,2014-05-13 18:07:28+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14751,2014-05-12 16:50:18+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14752,2014-05-12 16:49:36+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14753,2014-05-12 17:13:47+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14754,2014-05-12 17:13:30+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14755,2014-05-12 16:49:39+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14756,2014-05-12 16:49:32+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14757,2014-05-12 17:13:44+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14758,2014-05-13 18:07:28+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14759,2014-05-12 17:13:15+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14760,2014-05-12 17:13:45+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14761,2014-05-12 16:50:33+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14762,2014-05-12 16:49:53+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14763,2014-05-13 18:07:21+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14764,2014-05-12 16:50:35+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14765,2014-05-12 17:13:18+02:00,22293733,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Malvert', 'created_by': 'JOSM/1.5 (7000 en)'}"
14766,2014-05-13 18:07:47+02:00,22315917,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Aldenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
14767,2014-05-12 16:49:55+02:00,22293007,"{'source': 'BAG 2014-05-07', 'comment': 'Import BAG Nijmegen Weezenhof', 'created_by': 'JOSM/1.5 (7000 en)'}"
