osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,20,827,93419,26612,36544,3949285,263,2765,2,582,859270,2183,428225,22118,25968,373,248463,1546,2237,4468,11511,77625,525,24980,8452,24,8478,2338,28786
visible,157,2956,593422,346725,13065,11040380,2426,23126,8,6529,2663297,14735,1796326,128594,127329,1536,1064300,14862,14297,74059,72111,82351,613,77748,43403,233,43784,37382,191622
