osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,0,31,67,742,495,541,0,0,0,2,1141,5,1010,10,23,0,414,0,54,256,0,5,0,3,4,0,17,0,18
visible,0,299,645,6302,179,36724,3,0,0,122,12731,40,3022,246,492,56,4020,22,281,8446,8,2,0,148,45,0,143,47,887
