timestamp,value
2007-10-08T00:00:00Z,13920
2007-10-09T00:00:00Z,13920
2007-10-10T00:00:00Z,13920
2007-10-11T00:00:00Z,13920
2007-10-12T00:00:00Z,13920
2007-10-13T00:00:00Z,13920
2007-10-14T00:00:00Z,13920
2007-10-15T00:00:00Z,13920
2007-10-16T00:00:00Z,13920
2007-10-17T00:00:00Z,13920
2007-10-18T00:00:00Z,13920
2007-10-19T00:00:00Z,13920
2007-10-20T00:00:00Z,13921
2007-10-21T00:00:00Z,13921
2007-10-22T00:00:00Z,13921
2007-10-23T00:00:00Z,13921
2007-10-24T00:00:00Z,13921
2007-10-25T00:00:00Z,13921
2007-10-26T00:00:00Z,13921
2007-10-27T00:00:00Z,13921
2007-10-28T00:00:00Z,13921
2007-10-29T00:00:00Z,13921
2007-10-30T00:00:00Z,13874
2007-10-31T00:00:00Z,13874
2007-11-01T00:00:00Z,13874
2007-11-02T00:00:00Z,13874
2007-11-03T00:00:00Z,13874
2007-11-04T00:00:00Z,13874
2007-11-05T00:00:00Z,13874
2007-11-06T00:00:00Z,13874
2007-11-07T00:00:00Z,13874
2007-11-08T00:00:00Z,13874
2007-11-09T00:00:00Z,13874
2007-11-10T00:00:00Z,13874
2007-11-11T00:00:00Z,13874
2007-11-12T00:00:00Z,13874
2007-11-13T00:00:00Z,13874
2007-11-14T00:00:00Z,13851
2007-11-15T00:00:00Z,13851
2007-11-16T00:00:00Z,13851
2007-11-17T00:00:00Z,13851
2007-11-18T00:00:00Z,13851
2007-11-19T00:00:00Z,13851
2007-11-20T00:00:00Z,13851
2007-11-21T00:00:00Z,13851
2007-11-22T00:00:00Z,13825
2007-11-23T00:00:00Z,13825
2007-11-24T00:00:00Z,13825
2007-11-25T00:00:00Z,13825
2007-11-26T00:00:00Z,13825
2007-11-27T00:00:00Z,13825
2007-11-28T00:00:00Z,13825
2007-11-29T00:00:00Z,13825
2007-11-30T00:00:00Z,13825
2007-12-01T00:00:00Z,13825
2007-12-02T00:00:00Z,13825
2007-12-03T00:00:00Z,13825
2007-12-04T00:00:00Z,13825
2007-12-05T00:00:00Z,13811
2007-12-06T00:00:00Z,13811
2007-12-07T00:00:00Z,13811
2007-12-08T00:00:00Z,13811
2007-12-09T00:00:00Z,13811
2007-12-10T00:00:00Z,13811
2007-12-11T00:00:00Z,13811
2007-12-12T00:00:00Z,13811
2007-12-13T00:00:00Z,13811
2007-12-14T00:00:00Z,13811
2007-12-15T00:00:00Z,13811
2007-12-16T00:00:00Z,13811
2007-12-17T00:00:00Z,13811
2007-12-18T00:00:00Z,13811
2007-12-19T00:00:00Z,13811
2007-12-20T00:00:00Z,13811
2007-12-21T00:00:00Z,13811
2007-12-22T00:00:00Z,13811
2007-12-23T00:00:00Z,13811
2007-12-24T00:00:00Z,13811
2007-12-25T00:00:00Z,13811
2007-12-26T00:00:00Z,13811
2007-12-27T00:00:00Z,13811
2007-12-28T00:00:00Z,13811
2007-12-29T00:00:00Z,13811
2007-12-30T00:00:00Z,13811
2007-12-31T00:00:00Z,13811
2008-01-01T00:00:00Z,13811
2008-01-02T00:00:00Z,13811
2008-01-03T00:00:00Z,13811
2008-01-04T00:00:00Z,13811
