osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,0,7,670,299,521,3338,20,2,0,44,5146,199,809,81,37,94,573,108,992,102,177,34,0,679,21,0,181,8,254
visible,0,46,678,3554,111,25187,16,5,1,28,19196,144,2884,218,300,1372,3058,71,1846,4082,146,168,0,160,32,0,139,71,2905
