osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,108,386,17328,5155,610,49961,72,191,0,156,107508,417,45278,4765,3755,22,89013,304,2781,7054,3297,4389,206,4704,1549,9,2921,2972,30227
visible,1602,2397,129766,109422,6721,2177532,820,3901,38,1742,1668245,7095,385763,43109,80106,1194,704799,4637,45030,154500,65256,42342,799,17152,10790,180,17580,54065,929798
