osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,8,127,2373,101,123,3615,1,1,0,9,7785,28,538,38,38,25,630,14,5088,120,19,343,28,83,18,0,397,66,694
visible,45,1214,6078,906,420,101099,68,13,0,538,118908,242,11469,647,1055,281,15262,341,9618,17314,144,1242,122,2050,170,2,2859,2059,9727
