osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,3,12,3076,20765,180,502500,12,8,0,11,22309,1234,4068,445,100,23,1991,48,4495,28,214,118,1,471,63,0,715,11,361
visible,7,24,13194,9514,977,123805,113,48,0,161,95599,851,8293,6490,781,246,3439,777,1450,1899,3527,514,0,7049,702,2,1815,179,2913
