osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,1,41,112,49,60,192,0,3,0,1,734,2,46,7,5,1,151,2,1503,12,0,2,0,5,1,0,41,5,104
visible,3,159,417,722,484,16432,0,4,0,75,12098,7,2038,55,13,44,2195,32,2070,785,6,197,5,62,12,0,186,242,1789
