osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,0,38,2115,59,56,22346,4,4,0,83,20167,44,641,158,78,156,73,34,148,5,4,11,0,528,39,0,636,7,8
visible,0,2,4089,284,169,319585,55,8,0,583,20306,148,1985,778,481,15,1036,319,118,158,15,20,0,1482,182,0,1371,111,47
