osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,2,1363,7231,2992,14607,124291,7,102,7,141,86295,82,11392,8805,1231,18,32977,150,886,4847,152,3573,56,1448,990,1,1312,277,2345
visible,33,12680,56815,90740,13627,2495697,331,1604,98,2378,1875652,1278,158012,70851,41254,436,186169,2361,10610,321677,4936,69647,725,16556,13353,74,10364,31346,86436
