osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,0,76,812,100,515,127,1,6,0,1,58631,17,323,235,202,0,164,7,197,81,8,619,0,59,116,0,220,11,297
visible,0,383,4086,2400,12,16347,14,71,0,80,28814,119,3334,1984,1732,1,5223,108,847,14547,172,2290,4,720,993,19,860,1264,3058
