osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,0,67,166,119,242,120650,0,2,0,1,1439,4,78,12,40,0,656,6,50,264,0,46,1,35,3,0,130,8,131
visible,2,284,634,3950,270,6564,4,16,0,12,24545,44,4417,311,2414,1,3642,10,359,14471,22,1237,51,135,142,0,732,1430,2749
