osm_status,aerialway,aeroway,amenity,barrier,boundary,building,craft,emergency,geological,healthcare,highway,historic,landuse,leisure,man_made,military,natural,office,place,power,public_transport,railway,route,shop,sport,telecom,tourism,water,waterway
deleted,11,285,6129,2984,96770,44842,24,20,0,35,35986,431,17448,1719,1504,71,55731,94,5362,5034,5244,2942,48,1896,304,0,997,345,8768
visible,200,1155,48320,72516,1168,636688,293,1299,3,938,437746,3602,102876,10644,23438,1324,155050,1335,79388,82796,15951,17716,108,9028,3572,5,6243,20846,77642
